SiteEnergyUse(kBtu),NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,LargestPropertyUseType,LargestPropertyUseTypeGFA,BuildingType,Neighborhood,PrimaryPropertyType,BuildingAge,SteamUse,Electricity,NaturalGas
15026196.0,1.0,2,52549,0,OTHER - ENTERTAINMENT/PUBLIC ASSEMBLY,23500.0,NONRESIDENTIAL,DOWNTOWN,MIXED USE PROPERTY,90,0,1,1
4841347.5,1.0,20,98634,10043,HOTEL,83591.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,86,0,1,1
80469216.0,1.0,34,994212,146694,HOTEL,994212.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,34,1,1,1
5348309.0,1.0,7,71150,0,HOTEL,41340.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,31,0,1,1
5401277.5,1.0,7,122810,0,HOTEL,88360.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,108,0,1,1
5284343.5,1.0,5,113173,42546,HOTEL,70627.0,NONRESIDENTIAL,LAKE UNION,HOTEL,57,0,1,1
6715187.0,1.0,7,150453,34735,HOTEL,107547.0,NONRESIDENTIAL,LAKE UNION,HOTEL,16,0,1,1
5827595.5,1.0,6,116300,28200,HOTEL,88490.0,NONRESIDENTIAL,LAKE UNION,HOTEL,19,0,1,1
6836900.0,1.0,6,155602,36744,HOTEL,155602.0,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,HOTEL,18,0,1,1
3234787.75,1.0,3,56072,0,K-12 SCHOOL,56072.0,NONRESIDENTIAL,EAST,K-12 SCHOOL,105,0,1,1
5337334.0,1.0,4,122942,44891,HOTEL,78051.0,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,HOTEL,17,0,1,1
3375211.0,1.0,2,54984,0,OFFICE,54984.0,NONRESIDENTIAL,CENTRAL,SMALL- AND MID-SIZED OFFICE,54,0,1,1
42792072.0,1.0,5,217603,0,SENIOR CARE COMMUNITY,296313.0,NONRESIDENTIAL,SOUTHWEST,SENIOR CARE COMMUNITY,94,0,1,1
16402563.0,1.0,2,93397,0,SENIOR CARE COMMUNITY,93397.0,NONRESIDENTIAL,NORTHWEST,SENIOR CARE COMMUNITY,46,0,1,1
3706100.25,1.0,6,84103,20732,HOTEL,63371.0,NONRESIDENTIAL,LAKE UNION,HOTEL,8,0,1,1
0.0,1.0,2,53352,0,K-12 SCHOOL,65568.0,SPS-DISTRICT K-12,SOUTHWEST,K-12 SCHOOL,68,0,1,0
16701055.0,1.0,3,179014,0,MEDICAL OFFICE,179014.0,NONRESIDENTIAL,EAST,MEDICAL OFFICE,51,0,1,1
7258758.5,1.0,7,76631,0,HOTEL,76631.0,NONRESIDENTIAL,EAST,HOTEL,108,0,1,1
15473117.0,1.0,6,99780,9341,MEDICAL OFFICE,40174.0,NONRESIDENTIAL,EAST,MIXED USE PROPERTY,33,1,1,0
1049748.625,1.0,2,58320,0,RETAIL STORE,72072.0,NONRESIDENTIAL,LAKE UNION,RETAIL STORE,87,0,1,1
13795954.0,1.0,5,316306,0,OFFICE,261826.0,NONRESIDENTIAL,LAKE UNION,LARGE OFFICE,6,0,1,1
19459304.0,1.0,7,282863,44766,HOTEL,235788.0,NONRESIDENTIAL,LAKE UNION,HOTEL,26,0,1,1
23658978.0,1.0,1,389000,0,OTHER,368000.0,NONRESIDENTIAL COS,MAGNOLIA / QUEEN ANNE,OTHER,54,1,1,1
8141155.5,1.0,1,91213,0,OTHER,65000.0,NONRESIDENTIAL COS,MAGNOLIA / QUEEN ANNE,OTHER,54,1,1,0
20955026.0,1.0,5,396085,0,OTHER,278500.0,NONRESIDENTIAL COS,MAGNOLIA / QUEEN ANNE,OTHER,78,1,1,0
39605888.0,1.0,12,571329,0,OFFICE,598801.0,NONRESIDENTIAL,LAKE UNION,LARGE OFFICE,6,0,1,1
2726369.0,1.0,2,52000,0,OTHER,52000.0,NONRESIDENTIAL COS,MAGNOLIA / QUEEN ANNE,OTHER,54,1,1,0
875943.3125,1.0,1,60696,0,OTHER,108000.0,NONRESIDENTIAL COS,MAGNOLIA / QUEEN ANNE,OTHER,88,0,1,0
20723248.0,1.0,2,262048,0,OTHER,296000.0,NONRESIDENTIAL COS,MAGNOLIA / QUEEN ANNE,OTHER,88,1,1,0
4166306.25,1.0,2,66240,2352,OFFICE,45900.0,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,SMALL- AND MID-SIZED OFFICE,30,0,1,0
36667044.0,1.0,6,920598,303707,OFFICE,729584.0,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,LARGE OFFICE,6,0,1,1
3476212.5,1.0,4,76213,25930,OFFICE,48546.0,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,SMALL- AND MID-SIZED OFFICE,46,0,1,1
5155568.5,1.0,6,96910,36934,HOTEL,59976.0,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,HOTEL,14,0,1,1
5448975.0,2.0,4,50017,0,HOTEL,50017.0,NONRESIDENTIAL,NORTHEAST,HOTEL,54,0,1,1
0.0,1.0,3,74468,0,K-12 SCHOOL,75364.0,SPS-DISTRICT K-12,DELRIDGE,K-12 SCHOOL,17,0,1,0
2646879.0,1.0,3,67743,0,K-12 SCHOOL,67743.0,NONRESIDENTIAL,EAST,K-12 SCHOOL,93,0,1,1
6219841.5,1.0,6,194104,0,K-12 SCHOOL,194104.0,NONRESIDENTIAL,EAST,K-12 SCHOOL,108,0,1,1
4897760.0,1.0,3,99433,35752,OFFICE,63681.0,NONRESIDENTIAL,SOUTHEAST,SMALL- AND MID-SIZED OFFICE,13,0,1,0
0.0,1.0,2,58933,0,K-12 SCHOOL,60725.0,SPS-DISTRICT K-12,SOUTHEAST,K-12 SCHOOL,25,0,1,0
6456026.0,1.0,1,130862,0,K-12 SCHOOL,134446.0,SPS-DISTRICT K-12,GREATER DUWAMISH,K-12 SCHOOL,59,0,1,1
1633399.375,1.0,3,59955,0,K-12 SCHOOL,59955.0,SPS-DISTRICT K-12,SOUTHEAST,K-12 SCHOOL,27,0,1,1
2887392.0,1.0,2,93218,0,K-12 SCHOOL,93218.0,SPS-DISTRICT K-12,MAGNOLIA / QUEEN ANNE,K-12 SCHOOL,52,0,1,1
6357632.0,1.0,4,56521,0,OTHER,49000.0,NONRESIDENTIAL,NORTHEAST,OTHER,75,0,1,0
4253577.5,1.0,2,206934,0,OTHER,119146.0,NONRESIDENTIAL,NORTHEAST,OTHER,87,0,1,1
3611538.0,1.0,4,51390,0,HOTEL,51390.0,NONRESIDENTIAL,NORTHWEST,HOTEL,15,0,1,1
3894584.5,1.0,2,131013,0,K-12 SCHOOL,131909.0,SPS-DISTRICT K-12,NORTHWEST,K-12 SCHOOL,53,0,1,1
11765682.0,1.0,1,245587,0,K-12 SCHOOL,245587.0,SPS-DISTRICT K-12,NORTHWEST,K-12 SCHOOL,57,0,1,1
3242458.0,1.0,3,69138,0,HOTEL,70609.0,NONRESIDENTIAL,NORTHWEST,HOTEL,14,0,1,1
0.0,1.0,3,66588,0,K-12 SCHOOL,66588.0,SPS-DISTRICT K-12,LAKE UNION,K-12 SCHOOL,25,0,1,0
6505995.0,1.0,5,190980,0,HOTEL,190980.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,112,0,1,1
14641502.0,1.0,6,284100,0,OTHER - ENTERTAINMENT/PUBLIC ASSEMBLY,189750.0,NONRESIDENTIAL COS,DOWNTOWN,OTHER,18,1,1,1
68090728.0,4.0,5,285333,0,HOSPITAL (GENERAL MEDICAL & SURGICAL),302661.0,NONRESIDENTIAL,BALLARD,HOSPITAL,62,0,1,1
1513570.75,1.0,2,55513,0,K-12 SCHOOL,59097.0,SPS-DISTRICT K-12,BALLARD,K-12 SCHOOL,25,0,1,0
9363374.0,1.0,4,61156,0,OTHER,42755.0,NONRESIDENTIAL COS,DOWNTOWN,OTHER,10,0,1,1
2010454.625,1.0,4,72820,13820,MUSEUM,58000.0,NONRESIDENTIAL,DOWNTOWN,OTHER,106,0,1,1
7946961.0,1.0,4,162222,14200,HOTEL,113702.0,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,HOTEL,20,0,1,1
8819852.0,1.0,4,289588,0,K-12 SCHOOL,289588.0,SPS-DISTRICT K-12,SOUTHEAST,K-12 SCHOOL,26,0,1,1
3059758.0,1.0,3,63330,0,COLLEGE/UNIVERSITY,64820.0,NONRESIDENTIAL,EAST,UNIVERSITY,101,0,1,1
38301744.0,27.0,2,441071,0,COLLEGE/UNIVERSITY,483000.0,CAMPUS,DELRIDGE,UNIVERSITY,46,0,1,1
16319835.0,1.0,2,96300,0,OFFICE,92300.0,NONRESIDENTIAL,NORTHEAST,SMALL- AND MID-SIZED OFFICE,14,0,1,1
7475577.5,1.0,1,67356,0,"REPAIR SERVICES (VEHICLE, SHOE, LOCKSMITH, ETC)",68359.0,NONRESIDENTIAL COS,GREATER DUWAMISH,OTHER,66,0,1,1
13567774.0,1.0,3,254523,0,K-12 SCHOOL,254523.0,SPS-DISTRICT K-12,CENTRAL,K-12 SCHOOL,8,0,1,1
2499140.0,1.0,3,78804,0,K-12 SCHOOL,78804.0,SPS-DISTRICT K-12,SOUTHEAST,K-12 SCHOOL,15,0,1,1
2371304.5,1.0,3,66994,0,K-12 SCHOOL,66994.0,SPS-DISTRICT K-12,CENTRAL,K-12 SCHOOL,14,0,1,1
3456131.5,1.0,3,98357,0,K-12 SCHOOL,98357.0,SPS-DISTRICT K-12,GREATER DUWAMISH,K-12 SCHOOL,16,0,1,1
4253369.5,1.0,1,54765,0,OFFICE,25765.0,NONRESIDENTIAL,GREATER DUWAMISH,SMALL- AND MID-SIZED OFFICE,58,0,1,1
1950092.5,1.0,5,89821,0,OTHER - LODGING/RESIDENTIAL,46483.0,NONRESIDENTIAL,GREATER DUWAMISH,OTHER,7,0,1,1
4116871.5,1.0,2,52611,0,COLLEGE/UNIVERSITY,52611.0,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,UNIVERSITY,36,0,1,1
4448582.5,1.0,4,139600,37500,RESIDENCE HALL/DORMITORY,135520.0,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,RESIDENCE HALL,15,0,1,1
8355988.5,1.0,2,236758,0,K-12 SCHOOL,238550.0,SPS-DISTRICT K-12,NORTH,K-12 SCHOOL,5,0,1,1
13071700.0,3.0,6,250981,0,OTHER,137565.0,NONRESIDENTIAL,CENTRAL,OTHER,45,1,1,1
1986094.875,1.0,3,62526,0,K-12 SCHOOL,62526.0,SPS-DISTRICT K-12,NORTHWEST,K-12 SCHOOL,14,0,1,1
65336980.0,1.0,11,299070,68432,OTHER,250000.0,NONRESIDENTIAL,DOWNTOWN,OTHER,12,0,1,1
3242077.75,1.0,3,64015,0,OFFICE,30000.0,NONRESIDENTIAL,GREATER DUWAMISH,SMALL- AND MID-SIZED OFFICE,9,0,1,1
27717034.0,1.0,1,530039,0,RETAIL STORE,505103.0,NONRESIDENTIAL,NORTH,RETAIL STORE,65,0,1,1
7265178.0,1.0,3,54224,0,OTHER/SPECIALTY HOSPITAL,47012.0,NONRESIDENTIAL,NORTH,OTHER,52,0,1,1
8765978.0,1.0,4,124342,0,RETAIL STORE,122000.0,NONRESIDENTIAL,NORTH,RETAIL STORE,51,0,1,1
253832464.0,6.0,10,879000,0,HOSPITAL (GENERAL MEDICAL & SURGICAL),879000.0,NONRESIDENTIAL,NORTHEAST,HOSPITAL,63,0,1,1
3191228.25,1.0,3,55442,0,FINANCIAL OFFICE,28636.0,NONRESIDENTIAL,NORTHWEST,OTHER,20,0,1,1
9157150.0,1.0,2,242795,0,K-12 SCHOOL,242795.0,SPS-DISTRICT K-12,BALLARD,K-12 SCHOOL,17,0,1,1
1381590.125,1.0,5,84870,0,SELF-STORAGE FACILITY,85521.0,NONRESIDENTIAL,EAST,SELF-STORAGE FACILITY,106,0,1,1
35891484.0,11.0,2,694072,111625,COLLEGE/UNIVERSITY,667335.0,CAMPUS,NORTHWEST,UNIVERSITY,46,0,1,1
6127771.5,1.0,2,173185,0,K-12 SCHOOL,173185.0,SPS-DISTRICT K-12,SOUTHEAST,K-12 SCHOOL,64,0,1,1
5499097.0,1.0,1,145341,0,K-12 SCHOOL,139069.0,SPS-DISTRICT K-12,DELRIDGE,K-12 SCHOOL,53,0,1,1
2100097.75,1.0,4,114297,0,NON-REFRIGERATED WAREHOUSE,114297.0,NONRESIDENTIAL,GREATER DUWAMISH,WAREHOUSE,112,0,1,1
8800292.0,1.0,2,184125,0,K-12 SCHOOL,184125.0,SPS-DISTRICT K-12,SOUTHEAST,K-12 SCHOOL,56,0,1,1
0.0,1.0,1,160270,0,K-12 SCHOOL,160270.0,SPS-DISTRICT K-12,BALLARD,K-12 SCHOOL,57,0,0,1
6744317.0,1.0,1,234144,0,NON-REFRIGERATED WAREHOUSE,234144.0,NONRESIDENTIAL,GREATER DUWAMISH,WAREHOUSE,79,0,1,1
2944296.25,1.0,1,64984,0,RETAIL STORE,65425.0,NONRESIDENTIAL,DELRIDGE,RETAIL STORE,50,0,1,1
9230223.0,1.0,1,67745,0,RETAIL STORE,67782.0,NONRESIDENTIAL,DELRIDGE,RETAIL STORE,51,0,1,1
12265516.0,1.0,2,367884,0,K-12 SCHOOL,367884.0,SPS-DISTRICT K-12,DELRIDGE,K-12 SCHOOL,6,0,1,1
2075891.0,1.0,1,46797,0,K-12 SCHOOL,46797.0,SPS-DISTRICT K-12,DELRIDGE,K-12 SCHOOL,58,0,1,1
0.0,1.0,3,136188,0,K-12 SCHOOL,136188.0,SPS-DISTRICT K-12,CENTRAL,K-12 SCHOOL,53,0,0,1
1851260.5,1.0,3,56000,0,OTHER,56000.0,NONRESIDENTIAL,BALLARD,OTHER,43,0,1,1
2128459.0,1.0,2,67371,0,K-12 SCHOOL,67371.0,SPS-DISTRICT K-12,SOUTHEAST,K-12 SCHOOL,12,0,1,1
1377519.5,1.0,2,52088,0,SELF-STORAGE FACILITY,52088.0,NONRESIDENTIAL,SOUTHWEST,SELF-STORAGE FACILITY,47,0,1,1
4748137.0,1.0,3,127776,0,K-12 SCHOOL,127776.0,SPS-DISTRICT K-12,LAKE UNION,K-12 SCHOOL,6,0,1,1
9373179.0,1.0,5,123920,30000,HOTEL,123920.0,NONRESIDENTIAL,LAKE UNION,HOTEL,18,0,1,1
7548807.0,1.0,1,50000,0,MUSEUM,43000.0,NONRESIDENTIAL COS,LAKE UNION,OTHER,116,0,1,1
430473.6875,1.0,2,50292,0,NON-REFRIGERATED WAREHOUSE,42345.0,NONRESIDENTIAL COS,MAGNOLIA / QUEEN ANNE,WAREHOUSE,90,0,1,0
11171988.0,1.0,7,207656,54341,HOTEL,141591.0,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,HOTEL,18,0,1,1
2284133.75,1.0,2,67235,0,K-12 SCHOOL,67235.0,SPS-DISTRICT K-12,BALLARD,K-12 SCHOOL,17,0,1,1
9472358.0,1.0,2,91130,0,OFFICE,57968.0,NONRESIDENTIAL COS,NORTHWEST,SMALL- AND MID-SIZED OFFICE,59,0,1,1
1407277.25,1.0,3,58118,0,K-12 SCHOOL,59014.0,SPS-DISTRICT K-12,SOUTHWEST,K-12 SCHOOL,25,0,1,1
6197825.0,1.0,4,64893,0,HOTEL,64893.0,NONRESIDENTIAL,NORTHWEST,HOTEL,48,0,1,1
3606416.0,1.0,1,70762,0,K-12 SCHOOL,70762.0,SPS-DISTRICT K-12,GREATER DUWAMISH,K-12 SCHOOL,91,0,1,1
1677002.25,1.0,3,44558,0,OFFICE,34416.0,NONRESIDENTIAL,DOWNTOWN,SMALL- AND MID-SIZED OFFICE,116,0,1,1
59757440.0,1.0,6,1585960,327680,OTHER - ENTERTAINMENT/PUBLIC ASSEMBLY,1585960.0,NONRESIDENTIAL,GREATER DUWAMISH,OTHER,17,0,1,1
